CustomerID,customer_clusters,tsne_1,tsne_2,order_count,min_order,mean_order,max_order,total_spend,cat_0,cat_1,cat_2,cat_3,cat_4,first_purchase_days,last_purchase_days
12346.0,3,-71.7354,-22.041239,2,-77183.6,0.0,77183.6,0.0,0.0,0.0,0.0,0.0,0.0,325,325
12347.0,0,47.058113,19.291002,7,224.82,615.7142857142857,1294.32,4310.0,0.0,0.932078886310905,0.0,0.0,0.06792111368909513,366,1
12348.0,2,41.931847,-21.115465,4,227.44,449.31,892.8,1797.24,0.0,0.9083242882190866,0.0,0.0,0.09167571178091341,357,74
12349.0,4,-29.788265,-4.888334,1,1757.55,1757.55,1757.55,1757.55,0.0,0.8567253267469384,0.0,0.0,0.14327467325306165,18,18
12350.0,2,-36.038822,-41.25016,1,334.4,334.4,334.4,334.4,0.0,1.0,0.0,0.0,0.0,309,309
12352.0,0,35.3622,-5.4058685,11,-463.8,140.4918181818182,840.3,1545.41,0.0,0.9166278123296007,0.0,0.0,0.0833721876703993,296,35
12353.0,1,-17.247885,41.404007,1,89.0,89.0,89.0,89.0,0.0,0.447191011235955,0.0,0.0,0.5528089887640449,203,203
12354.0,2,-24.158,-34.95817,1,1079.4,1079.4,1079.4,1079.4,0.0,0.953585325180656,0.0,0.0,0.04641467481934409,231,231
12355.0,2,-32.348225,-37.863537,1,459.4,459.4,459.4,459.4,0.0,1.0,0.0,0.0,0.0,213,213
12356.0,2,35.856663,-23.248596,3,58.349999999999994,937.1433333333333,2271.62,2811.43,0.0,0.7321050240609787,0.0,0.0,0.2678949759390214,325,22
12357.0,2,-29.108854,-10.487266,1,6207.67,6207.67,6207.67,6207.67,0.003189602540083477,0.8837373765035834,0.0,0.0040272759344488354,0.10904574502188422,32,32
12358.0,0,0.5980049,1.4462086,2,484.86,584.03,683.2,1168.06,0.0,0.9785574208564102,0.0,0.0,0.02144257914358985,150,1
12359.0,0,59.923485,-8.768137,6,-91.25,1040.9216666666666,2876.85,6245.53,0.0,0.9675207708553156,0.0,0.021135115834845078,0.011344113309839195,331,7
12360.0,2,57.3906,-15.93351,3,534.7,887.3533333333334,1083.58,2662.06,0.0,0.9955691858596215,0.0,0.0,0.0044308141403786175,200,51
12361.0,3,-50.274048,-40.399696,1,189.9,189.9,189.9,189.9,0.0,1.0,0.0,0.0,0.0,286,286
12362.0,0,55.23504,15.084204,13,-48.85,396.50615384615384,829.99,5154.58,0.0036437056057339067,0.9674917159281375,0.0,0.0,0.02886457846612854,295,2
12363.0,2,16.753984,-46.42038,2,252.9,276.0,299.1,552.0,0.0,1.0,0.0,0.0,0.0,241,109
12364.0,0,-2.9219005,0.8305182,4,79.8,328.275,623.92,1313.1,0.0,0.9667246088899926,0.0,0.0,0.03327539111000744,111,7
12365.0,3,-2.6179616,-34.042202,3,-320.69,106.89666666666666,320.69,320.69,0.0,0.8685646574573577,0.0,0.03897845271134117,0.09245688983130125,290,290
12367.0,4,-66.80436,6.4836383,1,168.9,168.9,168.9,168.9,0.0,1.0,0.0,0.0,0.0,3,3
12370.0,2,23.926626,26.501896,4,277.2,886.4224999999999,1590.82,3545.6899999999996,0.0,0.641841497625296,0.0,0.022856709159322645,0.3353017932153814,359,50
12371.0,2,-29.447863,-7.5076447,2,360.0,943.98,1527.96,1887.96,0.0,0.9184533626534727,0.0,0.0,0.0815466373465274,59,44
12372.0,2,27.15965,-36.3213,3,383.12,432.68,515.7,1298.04,0.0,0.9833450386274706,0.0,0.0,0.016654961372529347,296,71
12373.0,2,-35.20965,-40.983276,1,364.6,364.6,364.6,364.6,0.0,1.0,0.0,0.0,0.0,310,310
