iter	MultiClass
0	1.128096846
1	0.9182721863
2	0.80032905
3	0.707118028
4	0.6456820661
5	0.6016456786
6	0.5724274287
7	0.5482267142
8	0.5255396727
9	0.5131644294
10	0.5036983597
11	0.4962286572
12	0.4838139023
13	0.4812308759
14	0.4712178734
15	0.4643184378
16	0.4603480441
17	0.4492751148
18	0.4426746329
19	0.4381633911
20	0.4306992309
21	0.4249043416
22	0.4186692565
23	0.41284302
24	0.4086192478
25	0.4018972619
26	0.3992141019
27	0.3969184674
28	0.3949947893
29	0.3916787049
30	0.3869130327
31	0.3832747655
32	0.3788065333
33	0.3772100946
34	0.373459263
35	0.3706575926
36	0.3689471032
37	0.3655259456
38	0.3634626124
39	0.3599772548
40	0.3561155332
41	0.3524452374
42	0.3506841438
43	0.3469538292
44	0.3443437716
45	0.341867128
46	0.3401983779
47	0.3378924447
48	0.3356282532
49	0.3328255727
50	0.3308809557
51	0.3286123953
52	0.3273612798
53	0.3243239606
54	0.3219955329
55	0.3211228833
56	0.3186545441
57	0.3157945525
58	0.3136489964
59	0.3126993323
60	0.3107369572
61	0.3082491822
62	0.3056184948
63	0.3036313019
64	0.3007260268
65	0.2990652671
66	0.2965856264
67	0.2939655581
68	0.2927501834
69	0.2914911107
70	0.2882403431
71	0.285043835
72	0.2834967195
73	0.2820622388
74	0.2810259627
75	0.2789396287
76	0.2765585069
77	0.2743377325
78	0.2734377994
79	0.2724984124
80	0.2707266777
81	0.268911846
82	0.2674523885
83	0.2649089565
84	0.2628457425
85	0.261017956
86	0.2587826513
87	0.2566033409
88	0.2557074529
89	0.2543702255
90	0.253284281
91	0.2514926164
92	0.2500829034
93	0.2487156541
94	0.2476598492
95	0.2458348437
96	0.244899529
97	0.242991555
98	0.2415421387
99	0.2396211835
100	0.2387183595
101	0.2375131163
102	0.2355838867
103	0.2341483195
104	0.2327904316
105	0.2313175936
106	0.2306474924
107	0.2290010714
108	0.2279483767
109	0.2260459486
110	0.2250461912
111	0.2242886435
112	0.223101818
113	0.2218998132
114	0.220515762
115	0.2195269501
116	0.2185271009
117	0.2172658402
118	0.2163642201
119	0.2148665778
120	0.2139843627
121	0.2130086508
122	0.2121636799
123	0.2109611995
124	0.210228308
125	0.2095441071
126	0.2086753723
127	0.2078558596
128	0.2075444568
129	0.206665396
130	0.2056199339
131	0.2050104266
132	0.203935062
133	0.2023436519
134	0.2013676728
135	0.2003496999
136	0.1992638111
137	0.198723128
138	0.1980062895
139	0.1971223901
140	0.1962101546
141	0.1953877999
142	0.1948272176
143	0.1936300656
144	0.193103708
145	0.1928806167
146	0.1923423631
147	0.1908960563
148	0.1898723854
149	0.1891757909
150	0.1888453757
151	0.188296359
152	0.1876502624
153	0.1864697086
154	0.1858277178
155	0.1855341166
156	0.1845588237
157	0.1843459057
158	0.1831592229
159	0.1823211648
160	0.1816646378
161	0.1803714865
162	0.1799496345
163	0.1788413884
164	0.1781240387
165	0.1769766888
166	0.1761865535
167	0.1752983628
168	0.1744514777
169	0.1737796688
170	0.1730405961
171	0.1724603055
172	0.1719052573
173	0.1716123422
174	0.1708314453
175	0.1704938729
176	0.1697674053
177	0.1689116597
178	0.167977068
179	0.1674916306
180	0.1669433876
181	0.1664709715
182	0.165569999
183	0.165279572
184	0.1647901301
185	0.1644063656
186	0.1632366502
187	0.1628690011
188	0.1617862551
189	0.1613147877
190	0.1610601566
191	0.1600568108
192	0.1587323661
193	0.1583951076
194	0.1577474989
195	0.1571533087
196	0.1563190955
197	0.155722735
198	0.1551282565
199	0.1545396442
